Latitude,Longitude,ZCategory
47.59916842,-122.2865214,
47.51298692,-122.3946991,
47.70054059,-122.391283,SINGLE FAMILY / DUPLEX
47.62790566,-122.2871759,SINGLE FAMILY / DUPLEX
47.5811395,-122.402415,SINGLE FAMILY / DUPLEX
47.64778773,-122.4103571,SINGLE FAMILY / DUPLEX
47.55304051,-122.3752805,SINGLE FAMILY / DUPLEX
47.6768752,-122.3825016,SINGLE FAMILY / DUPLEX
47.66970142,-122.4082776,SINGLE FAMILY / DUPLEX
47.56606357,-122.2939824,SINGLE FAMILY / DUPLEX
47.61891226,-122.3595916,COMMERCIAL
47.6615389,-122.2992662,COMMERCIAL
47.60896713,-122.3348214,COMMERCIAL
47.61740831,-122.3146104,SINGLE FAMILY / DUPLEX
47.61185895,-122.3434107,COMMERCIAL
47.66963465,-122.4170839,SINGLE FAMILY / DUPLEX
47.53457786,-122.3256095,COMMERCIAL
47.62761377,-122.2871844,SINGLE FAMILY / DUPLEX
47.66448008,-122.381117,COMMERCIAL
47.59285051,-122.3044435,SINGLE FAMILY / DUPLEX
47.61151594,-122.303026,SINGLE FAMILY / DUPLEX
47.72951169,-122.2989649,SINGLE FAMILY / DUPLEX
47.58027836,-122.3939011,SINGLE FAMILY / DUPLEX
47.63571843,-122.3965398,SINGLE FAMILY / DUPLEX
47.56566778,-122.3705327,MULTIFAMILY
47.58524943,-122.3072667,SINGLE FAMILY / DUPLEX
47.63828226,-122.3002864,SINGLE FAMILY / DUPLEX
47.66790764,-122.3831081,MULTIFAMILY
47.51462118,-122.2690117,SINGLE FAMILY / DUPLEX
47.58065475,-122.3889576,SINGLE FAMILY / DUPLEX
47.65880804,-122.3998087,SINGLE FAMILY / DUPLEX
47.61130513,-122.3384511,COMMERCIAL
47.6675463,-122.336117,SINGLE FAMILY / DUPLEX
47.5450702,-122.3977608,SINGLE FAMILY / DUPLEX
47.60180895,-122.297002,MULTIFAMILY
47.72152213,-122.3344669,SINGLE FAMILY / DUPLEX
47.63576192,-122.4002785,SINGLE FAMILY / DUPLEX
47.61598094,-122.3437016,COMMERCIAL
47.61770123,-122.330612,COMMERCIAL
47.67640764,-122.3668471,SINGLE FAMILY / DUPLEX
47.54402018,-122.3203087,SINGLE FAMILY / DUPLEX
47.61523711,-122.338364,SINGLE FAMILY / DUPLEX
47.5996855,-122.2858129,MULTIFAMILY
47.65358779,-122.3515066,MULTIFAMILY
47.55332828,-122.3206037,INDUSTRIAL
47.67104998,-122.3093661,SINGLE FAMILY / DUPLEX
47.53302377,-122.2769657,SINGLE FAMILY / DUPLEX
47.70309251,-122.351414,SINGLE FAMILY / DUPLEX
47.58924534,-122.3356791,COMMERCIAL
47.62667824,-122.3296652,COMMERCIAL
47.6213169,-122.3381515,COMMERCIAL
47.61317117,-122.3339421,COMMERCIAL
47.6325374,-122.3579733,COMMERCIAL
47.51797119,-122.3948744,
47.52696846,-122.329146,COMMERCIAL
47.71304721,-122.3625242,SINGLE FAMILY / DUPLEX
47.62037756,-122.3362875,COMMERCIAL
47.62296493,-122.3362166,COMMERCIAL
47.6102272,-122.3374679,COMMERCIAL
47.6826425,-122.3075304,SINGLE FAMILY / DUPLEX
47.68164407,-122.3602213,SINGLE FAMILY / DUPLEX
47.63940653,-122.3198184,MULTIFAMILY
47.62221783,-122.3368177,COMMERCIAL
47.61472875,-122.3556767,COMMERCIAL
47.61586972,-122.3393811,COMMERCIAL
47.61816328,-122.2878626,COMMERCIAL
47.63321755,-122.3965888,SINGLE FAMILY / DUPLEX
47.56555596,-122.370562,MULTIFAMILY
47.67901294,-122.3701095,SINGLE FAMILY / DUPLEX
47.64993468,-122.3480327,COMMERCIAL
47.700386,-122.3910858,SINGLE FAMILY / DUPLEX
47.60967094,-122.3366155,COMMERCIAL
47.69267858,-122.3771104,COMMERCIAL
47.73344993,-122.3560566,COMMERCIAL
47.5582421,-122.2977081,SINGLE FAMILY / DUPLEX
47.56921648,-122.3287493,COMMERCIAL
47.58140031,-122.2905988,SINGLE FAMILY / DUPLEX
47.68048901,-122.3787263,SINGLE FAMILY / DUPLEX
47.52611523,-122.3151968,COMMERCIAL
47.63938439,-122.345036,SINGLE FAMILY / DUPLEX
47.6309693,-122.3089317,SINGLE FAMILY / DUPLEX
